135,673,0.75
28,673,0.25
91,233,2.0
9,126,10.5
38,7344,4.25
97,1164,0.0
82,545,2.25
130,11133,52.0
107,1262,0.75
113,11156,24.0
92,327,90.0
64,1070,5.5
150,12517,90.0
146,733,1.75
84,1970,1.25
115,673,4.75
142,116,1.25
23,1020,1.25
104,1942,0.25
101,1011,4.25
135,1121,2.5
147,431,52.0
125,7342,0.25
133,1970,4.25
89,960,16.0
47,2993,4.0
116,15,52.0
121,622,2.5
113,529,2.0
94,9630,24.0
88,673,16.0
88,15,4.0
9,622,52.0
88,6801,10.0
117,732,60.0
41,116,3.25
92,1009,4.75
117,1262,24.0
98,549,45.5
32,109,100.0
146,1020,2.25
125,1352,2.5
22,121,90.0
80,71,0.25
99,75,0.0
81,733,80.25
149,1262,90.0
23,358,2.25
115,1262,1.25
9,427,4.25
79,231,48.0
47,14593,1.0
137,73,1.75
108,1871,2.0
46,537,5.0
38,622,100.0
100,9630,11.0
134,3025,90.0
94,529,90.0
80,73,0.5
9,327,4.0
126,7323,2.0
138,1871,10.0
142,1121,0.0
30,545,90.0
100,1942,0.75
111,11208,34.5
47,73,10.0
83,1942,4.25
32,7342,2.75
144,116,3.5
134,1262,3.25
122,7342,1.25
98,1164,90.0
111,730,52.0
135,6036,32.5
28,37,2.5
142,343,3.0
126,358,2.75
78,9630,9.5
44,529,3.5
135,11198,0.0
120,1942,75.0
150,622,10.0
82,1970,10.0
125,7323,4.75
86,247,1.75
80,538,80.25
79,472,4.75
126,533,2.0
134,960,80.25
97,979,52.0
80,1887,4.0
143,21,2.25
93,11156,1.5
77,493,26.0
134,1970,0.25
83,39,3.0
117,733,4.0
77,1011,0.75
111,7323,16.0
120,11133,3.5
98,1802,1.0
146,6801,32.0
129,40,0.25
137,1352,3.0
54,37,1.0
91,18,23.5
96,3025,4.75
129,7346,1.75
134,11198,3.5
149,124,100.0
36,1942,3.0
139,1011,3.75
78,673,48.0
135,1164,5.0
86,40,1.0
69,538,3.5
77,25076,3.0
150,559,3.75
104,116,24.0
105,43,0.0
10,75,10.0
98,7344,1.0
87,1068,9.5
83,472,2.0
148,1164,1.5
102,974,1.5
100,113,2.0
101,14593,48.0
129,9730,27.5
150,14593,2.25
100,9630,22.5
135,358,4.5
64,7599,60.0
142,974,5.0
110,533,32.0
135,1942,2.5
19,14593,60.0
96,622,2.0
131,74,40.0
84,128,10.0
78,128,60.0
89,1011,4.25
22,2031,36.5
111,1266,3.5
88,1262,90.0
83,731,30.0
141,1331,0.75
125,1970,0.0
94,109,90.0
120,529,1.25
64,230,18.5
108,1011,80.25
133,37,5.0
143,26758,42.0
91,116,2.0
81,960,1.0
35,9630,7.0
85,622,1.0
93,1942,80.25
139,38,90.0
148,11133,3.0
88,1029,10.0
127,1262,2.0
124,7351,2.25
81,231,3.75
100,549,26.0
143,7344,60.0
137,231,10.0
76,2207,5.0
111,974,0.0
102,3025,90.0
92,7323,5.0
128,231,60.0
127,59,2.5
136,431,4.75
10,126,15.0
80,11208,43.5
105,1121,2.0
85,14593,0.5
27,493,13.0
23,501,2.25
102,7346,52.0
111,1970,24.0
40,478,48.0
76,26758,3.5
44,1070,28.0
135,1068,7.0
116,21,4.75
138,12517,1.0
