11,470,,0
20,670,,0
11,680,,0
20,250,,0
14,300,,0
6,960,,0
12,790,,0
9,650,,0
1,670,,0
8,240,,0
1,990,,0
5,610,,0
5,660,,0
8,120,,0
2,680,,0
17,580,,0
2,20,10,40000
5,510,10,65000
11,970,,0
9,690,,0
17,940,,0
17,290,,0
7,850,,0
5,180,,0
13,990,10,60000
18,370,20,60000
5,970,,0
1,330,,0
11,80,,0
5,160,,0
18,520,,0
11,840,20,50000
14,430,,0
14,500,,0
5,530,,0
6,770,,0
19,960,10,45000
17,190,70,90000
13,300,30,60000
19,810,,0
4,550,,0
18,230,,0
14,10,,0
6,10,,0
16,710,,0
1,650,,0
1,230,30,65000
1,470,,0
13,870,,0
17,900,,0
17,500,,0
16,810,,0
2,820,,0
15,270,10,50000
7,820,70,65000
11,700,,0
9,710,,0
18,980,,0
1,620,,0
16,140,,0
13,730,10,45000
13,770,,0
5,920,,0
2,700,,0
1,910,,0
15,120,,0
16,340,,0
14,790,,0
19,150,,0
7,530,,0
1,10,,0
4,420,10,50000
9,600,,0
18,570,,0
5,220,,0
9,850,,0
1,180,,0
12,800,,0
1,690,,0
7,250,,0
6,50,,0
11,210,,0
16,50,30,65000
19,840,,0
9,560,,0
1,900,,0
4,650,10,45000
14,530,,0
14,480,,0
1,560,,0
12,660,,0
18,320,,0
16,510,,0
4,300,,0
8,570,,0
14,250,,0
6,280,,0
7,160,,0
16,310,,0
12,320,,0
5,170,,0
2,790,,0
1,60,,0
19,120,,0
11,20,,0
5,560,,0
15,730,,0
2,420,,0
11,310,,0
4,580,,0
17,950,,0
19,230,,0
6,450,,0
6,690,,0
16,800,100,75000
2,650,,0
7,150,,0
12,710,,0
11,140,,0
14,840,,0
17,590,,0
5,630,,0
7,230,,0
5,850,20,45000
4,170,70,65000
5,430,,0
2,670,,0
9,460,,0
2,770,,0
13,290,,0
18,740,,0
1,110,,0
18,200,,0
16,170,,0
19,620,20,70000
8,520,,0
14,730,,0
15,210,,0
7,730,,0
1,940,,0
11,990,,0
1,630,,0
16,630,,0
17,550,,0
2,1010,,0
18,810,,0
10,580,,0
5,250,,0
13,970,100,95000
4,60,,0
10,960,30,80000
11,930,,0
10,940,,0
6,310,,0
5,980,,0
5,670,,0
7,830,,0
6,260,70,65000
2,540,,0
9,80,,0
17,20,,0
17,80,,0
18,760,70,85000
1,280,,0
18,480,10,35000
14,680,,0
15,200,,0
11,500,,0
5,590,,0
16,1010,,0
2,320,,0
7,720,,0
17,530,,0
6,40,,0
8,330,,0
13,630,,0
18,830,,0
11,560,,0
7,140,,0
5,690,,0
20,690,,0
2,760,,0
